Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-06-02,The Twilight Saga: Eclipse,2010,https://boxd.it/4jSnNB,4,Yes,,2023-06-01
2023-06-05,Isle of Dogs,2018,https://boxd.it/4kN2cN,4.5,Yes,,2023-06-04
2023-06-15,The Jinx: The Life and Deaths of Robert Durst,2015,https://boxd.it/4nteyj,4,,,2023-06-09
2023-06-15,I'll Be Gone in the Dark,2020,https://boxd.it/4ntfxL,3.5,,,2023-06-11
2023-06-15,Thought Crimes,2015,https://boxd.it/4ntl4v,3,,,2023-06-14
2023-06-16,The Curious Case of Natalia Grace,2023,https://boxd.it/4nJaSL,3,,,2023-06-15
2023-06-19,Black Mirror: Joan Is Awful,2023,https://boxd.it/4oHE5f,3,,,2023-06-17
2023-06-19,Black Mirror: Loch Henry,2023,https://boxd.it/4oHEB1,2.5,,,2023-06-17
2023-06-19,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4oHDEt,4.5,,,2023-06-19
2023-06-26,Asteroid City,2023,https://boxd.it/4qvVZt,4,,,2023-06-25
2023-07-01,Coraline,2009,https://boxd.it/4s1KRL,3.5,,,2023-06-30
2023-07-02,The Dark Knight,2008,https://boxd.it/4slZPP,4.5,Yes,,2023-07-01
2023-07-09,Pearl,2022,https://boxd.it/4uqwA5,4.5,Yes,,2023-07-08
2023-07-09,Elysium,2013,https://boxd.it/4utksp,2.5,,,2023-07-08
2023-07-10,The Batman,2022,https://boxd.it/4uOR5v,4.5,Yes,,2023-07-09
2023-07-21,Kingsman: The Secret Service,2014,https://boxd.it/4yesIr,3.5,Yes,,2023-07-20
2023-07-22,Barbie,2023,https://boxd.it/4yCjRx,5,,,2023-07-21
2023-08-05,Barbarian,2022,https://boxd.it/4E69rJ,3,,,2023-08-04
2023-08-07,Pulp Fiction,1994,https://boxd.it/4ENFH1,4.5,,,2023-08-06
2023-08-07,Muppets Haunted Mansion,2021,https://boxd.it/4EOXsv,3.5,Yes,,2023-08-06
2023-08-08,Drive,2011,https://boxd.it/4Fc4FH,3.5,,,2023-08-07
2023-08-09,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/4FjO3D,4.5,Yes,,2023-08-08
2023-08-10,Bullet Train,2022,https://boxd.it/4FEcpD,3.5,,,2023-08-08
2023-08-14,Grease,1978,https://boxd.it/4GVjaD,3.5,Yes,,2023-08-13
2023-08-14,"Dude, Where's My Car?",2000,https://boxd.it/4H8V9z,3.5,,,2023-08-13
2023-08-27,It Comes at Night,2017,https://boxd.it/4L6hvd,3.5,,,2023-08-26
2023-09-16,Bodies Bodies Bodies,2022,https://boxd.it/4QVJBF,4,Yes,,2023-09-15
2023-10-04,The Swan,2023,https://boxd.it/4Wmd1z,4,,,2023-10-03
2023-10-04,The Rat Catcher,2023,https://boxd.it/4WnBSp,4,,,2023-10-03
2023-10-17,Scream,1996,https://boxd.it/50DR6T,3.5,Yes,,2023-10-16
2023-10-21,Beetlejuice,1988,https://boxd.it/51QmrB,4,Yes,,2023-10-20
2023-10-22,Orphan: First Kill,2022,https://boxd.it/52dsgb,3,,,2023-10-21
2023-10-27,Dirty Dancing,1987,https://boxd.it/53NhOx,4,Yes,,2023-10-26
2023-10-28,The Rocky Horror Picture Show,1975,https://boxd.it/54fb29,4,Yes,,2023-10-28
2023-10-29,Five Nights at Freddy's,2023,https://boxd.it/54A5MR,1.5,,,2023-10-28
2023-11-05,Good Time,2017,https://boxd.it/574CcZ,4.5,Yes,,2023-11-04
2023-11-12,How to Lose a Guy in 10 Days,2003,https://boxd.it/59fYBH,4,Yes,,2023-11-11
2023-11-19,Priscilla,2023,https://boxd.it/5bqFzR,3.5,,,2023-11-18
2023-11-30,Saltburn,2023,https://boxd.it/5fgWtd,4,,,2023-11-29
2023-12-03,Saltburn,2023,https://boxd.it/5gdRwp,4.5,Yes,,2023-12-02
2023-12-09,Oppenheimer,2023,https://boxd.it/5ieQbP,4,,,2023-12-08
2023-12-10,The Boy and the Heron,2023,https://boxd.it/5iwTc3,4,,,2023-12-09
2023-12-16,Violent Night,2022,https://boxd.it/5kLx3B,2,,,2023-12-15
2023-12-23,The Muppet Christmas Carol,1992,https://boxd.it/5nrjyx,3.5,Yes,,2023-12-22
2024-01-08,Saltburn,2023,https://boxd.it/5xfNh3,4.5,Yes,,2024-01-06
2024-01-08,The Cat Returns,2002,https://boxd.it/5xfO0H,3.5,,,2024-01-07
2024-01-08,A Clockwork Orange,1971,https://boxd.it/5xfOpd,4,Yes,,2024-01-07
2024-01-15,Avatar: The Way of Water,2022,https://boxd.it/5Bb3Yt,4,Yes,,2024-01-14
2024-01-29,Ferris Bueller's Day Off,1986,https://boxd.it/5I2s6L,3.5,Yes,,2024-01-27
2024-02-15,The Lego Movie,2014,https://boxd.it/5PSvE9,4.5,,,2024-02-14
2024-02-25,The Lego Batman Movie,2017,https://boxd.it/5Up1lN,4,Yes,,2024-02-17
2024-02-25,Uptown Girls,2003,https://boxd.it/5UrRhx,4,,,2024-02-24
2024-03-02,Marcel the Shell with Shoes On,2021,https://boxd.it/5XkF2X,3.5,,,2024-03-01
2024-03-03,Dicks: The Musical,2023,https://boxd.it/5XMVZx,3.5,,,2024-03-02
2024-03-04,Ferdinand the Bull,1938,https://boxd.it/5Yni47,3,,,2024-03-03
2024-03-05,Airplane!,1980,https://boxd.it/5YQFmB,3,,,2024-03-04
2024-03-06,Poison,2023,https://boxd.it/5ZhHLx,3.5,,,2024-03-05
2024-03-09,Godzilla,1954,https://boxd.it/60AY7h,4,,,2024-03-08
2024-03-16,Road House,1989,https://boxd.it/63N5NP,3,,,2024-03-15
2024-03-17,Wonka,2023,https://boxd.it/64oxY1,4,,,2024-03-16
2024-03-24,Carnival of Souls,1962,https://boxd.it/67zuxF,3.5,,,2024-03-23
2024-03-30,Immaculate,2024,https://boxd.it/6anNVJ,3.5,,,2024-03-29
2024-04-01,She's the Man,2006,https://boxd.it/6bqbVV,3.5,,,2024-03-31
2024-04-28,Bill & Ted's Excellent Adventure,1989,https://boxd.it/6mvMfB,4,,,2024-04-26
2024-05-05,The Fall Guy,2024,https://boxd.it/6pCdxr,3.5,,,2024-05-04
2024-05-19,The Lego Batman Movie,2017,https://boxd.it/6uZFHF,4,Yes,,2024-05-18
2024-06-08,Poor Things,2023,https://boxd.it/6Dh89X,4,,,2024-06-07
2024-06-20,X,2022,https://boxd.it/6I7GBr,4,Yes,,2024-06-19
2024-07-06,MaXXXine,2024,https://boxd.it/6OAoBv,3,,,2024-07-05
2024-07-10,MaXXXine,2024,https://boxd.it/6QpQa9,3.5,Yes,,2024-07-09
2024-07-17,Longlegs,2024,https://boxd.it/6TxryX,3,,,2024-07-16
2024-07-22,Captain America: The Winter Soldier,2014,https://boxd.it/6VAHbp,3.5,Yes,,2024-07-21
2024-08-18,Deadpool & Wolverine,2024,https://boxd.it/77QOaN,3,,,2024-08-17
2024-10-27,Woman of the Hour,2023,https://boxd.it/7EEEiP,3.5,,,2024-10-26
2024-11-02,Brothers,2024,https://boxd.it/7HPbiF,2,,,2024-11-01
2024-11-03,Bottoms,2023,https://boxd.it/7IslVP,4,,,2024-11-02
2024-12-21,Bottoms,2023,https://boxd.it/86IQ2z,4,Yes,,2024-12-20
2024-12-27,A Nonsense Christmas with Sabrina Carpenter,2024,https://boxd.it/8bclcT,3.5,,,2024-12-26
2024-12-27,The Muppet Christmas Carol,1992,https://boxd.it/8bcmoB,4,Yes,,2024-12-26
