Date,Name,Year,Letterboxd URI
2021-12-29,Suicide Squad,2016,https://boxd.it/9row
2021-12-29,Thor,2011,https://boxd.it/1WQU
2021-12-29,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ
2021-12-29,Juno,2007,https://boxd.it/210a
2021-12-29,Eighth Grade,2018,https://boxd.it/hDMG
2021-12-29,The Babadook,2014,https://boxd.it/77xu
2021-12-29,Spider-Man 2,2004,https://boxd.it/2a88
2021-12-30,The Amazing Spider-Man,2012,https://boxd.it/27PI
2021-12-30,The Fly,1986,https://boxd.it/1YIe
2021-12-31,Red Rocket,2021,https://boxd.it/sGpi
2022-01-11,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2022-02-07,The Secret World of Arrietty,2010,https://boxd.it/AF4
2022-03-02,Palm Springs,2020,https://boxd.it/lCXQ
2022-03-04,The Lighthouse,2019,https://boxd.it/icFU
2022-03-07,The Batman,2022,https://boxd.it/eDGs
2022-03-08,Fresh,2022,https://boxd.it/tCNi
2022-03-09,A Nightmare on Elm Street,1984,https://boxd.it/2aw0
2022-03-10,Prisoners,2013,https://boxd.it/4E5i
2022-03-11,Parasite,2019,https://boxd.it/hTha
2022-03-12,Black Swan,2010,https://boxd.it/Sw0
2022-03-13,Baby Driver,2017,https://boxd.it/bhF2
2022-03-13,Django Unchained,2012,https://boxd.it/2cCk
2022-03-14,Christine,1983,https://boxd.it/1ZRQ
2022-03-17,Willy's Wonderland,2021,https://boxd.it/nTcG
2022-03-18,The Great Muppet Caper,1981,https://boxd.it/1N9i
2022-03-25,The Exorcist,1973,https://boxd.it/1Yoo
2022-03-26,The Edge of Seventeen,2016,https://boxd.it/d5nu
2022-03-30,Howl's Moving Castle,2004,https://boxd.it/23De
2022-03-31,The Tinder Swindler,2022,https://boxd.it/yMLw
2022-04-01,Flower,2017,https://boxd.it/eTZA
2022-04-03,The Lego Batman Movie,2017,https://boxd.it/azp0
2022-04-11,Bad Vegan: Fame. Fraud. Fugitives.,2022,https://boxd.it/zQPk
